stage,edge_size,edge_ent,node_feat_size,node_feat_ent,lr,epochs,graph_idx,node_type,node_idx,target_value,seed_runs,feature_mask_var_mean,edge_mask_var_mean,mask_var_mean
A,0.1,0.1,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.0048458593710485895,0.013694953829258638,0.009270406600153614
A,0.01,0.01,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.0048419696081985,0.013857006379192606,0.009349487993695553
A,0.0001,0.0001,1e-12,1e-12,0.01,150,640,H,4,-0.03988323733210564,5,0.019271663171717468,0.0011951191471409927,0.01023339115942923
A,0.1,0.1,1e-12,1e-12,0.01,150,170,H,3,-0.026961499825119972,5,0.011492684455479442,0.009103288699685104,0.010297986577582272
A,0.01,0.01,1e-12,1e-12,0.01,150,170,H,3,-0.026961499825119972,5,0.011500012065472569,0.009444352911507527,0.010472182488490047
A,0.001,0.001,1e-12,1e-12,0.01,150,330,H,4,-0.02938268519937992,5,0.01085170704267807,0.010737590155621772,0.010794648599149921
A,0.001,0.0001,1e-12,1e-12,0.01,150,620,H,3,-0.25204017758369446,5,0.02161813493782776,0.00025679954057864055,0.0109374672392032
A,0.001,1e-05,1e-12,1e-12,0.01,150,620,H,3,-0.25204017758369446,5,0.021626429494424795,0.0002558506735979904,0.010941140084011394
A,0.001,1e-06,1e-12,1e-12,0.01,150,620,H,3,-0.25204017758369446,5,0.02162696152034291,0.0002560422227841741,0.010941501871563543
A,0.1,0.01,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.004736009448271873,0.01747900526471092,0.011107507356491396
A,0.01,0.001,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.004720170264989894,0.01773926400786323,0.011229717136426561
A,0.1,0.001,1e-12,1e-12,0.01,150,490,H,6,-0.1284528225660324,5,0.004734768215771105,0.017849251166288608,0.011292009691029857
